Program to calculate energy of water
Input NAME of configuration file : 
Number of molecules 100000
first line 0.230000 0.628000 0.113000
Box size 14.420000
Thread 9 evaluated 77465 pairs
Thread 6 evaluated 84347 pairs
Thread 8 evaluated 91840 pairs
Thread 4 evaluated 80833 pairs
Thread 3 evaluated 88014 pairs
Thread 2 evaluated 99999 pairs
Thread 9 evaluated 77464 pairs
Thread 8 evaluated 91839 pairs
Thread 4 evaluated 80832 pairs
Thread 6 evaluated 84346 pairs
Thread 3 evaluated 88013 pairs
Thread 2 evaluated 99998 pairs
Thread 9 evaluated 77463 pairs
Thread 8 evaluated 91838 pairs
Thread 4 evaluated 80831 pairs
Thread 11 evaluated 95833 pairs
Thread 6 evaluated 84345 pairs
Thread 3 evaluated 88012 pairs
Thread 9 evaluated 77462 pairs
Thread 11 evaluated 95832 pairs
Thread 6 evaluated 84344 pairs
Thread 8 evaluated 91837 pairs
Thread 4 evaluated 80830 pairs
Thread 2 evaluated 99997 pairs
Thread 9 evaluated 77461 pairs
Thread 11 evaluated 95831 pairs
Thread 3 evaluated 88011 pairs
Thread 8 evaluated 91836 pairs
Thread 11 evaluated 95830 pairs
Thread 4 evaluated 80829 pairs
Thread 6 evaluated 84343 pairs
Thread 9 evaluated 77460 pairs
Thread 2 evaluated 99996 pairs
Thread 11 evaluated 95829 pairs
Thread 3 evaluated 88010 pairs
Thread 8 evaluated 91835 pairs
Thread 4 evaluated 80828 pairs
Thread 11 evaluated 95828 pairs
Thread 9 evaluated 77459 pairs
Thread 6 evaluated 84342 pairs
Thread 11 evaluated 95827 pairs
Thread 2 evaluated 99995 pairs
Thread 8 evaluated 91834 pairs
Thread 4 evaluated 80827 pairs
Thread 3 evaluated 88009 pairs
Thread 9 evaluated 77458 pairs
Thread 6 evaluated 84341 pairs
Thread 11 evaluated 95826 pairs
Thread 2 evaluated 99994 pairs
Thread 9 evaluated 77457 pairs
Thread 4 evaluated 80826 pairs
Thread 8 evaluated 91833 pairs
Thread 3 evaluated 88008 pairs
Thread 6 evaluated 84340 pairs
Thread 11 evaluated 95825 pairs
Thread 9 evaluated 77456 pairs
Thread 2 evaluated 99993 pairs
Thread 4 evaluated 80825 pairs
Thread 6 evaluated 84339 pairs
Thread 8 evaluated 91832 pairs
Thread 3 evaluated 88007 pairs
Thread 9 evaluated 77455 pairs
Thread 11 evaluated 95824 pairs
Thread 2 evaluated 99992 pairs
Thread 4 evaluated 80824 pairs
Thread 6 evaluated 84338 pairs
Thread 9 evaluated 77454 pairs
Thread 11 evaluated 95823 pairs
Thread 3 evaluated 88006 pairs
Thread 8 evaluated 91831 pairs
Thread 6 evaluated 84337 pairs
Thread 2 evaluated 99991 pairs
Thread 9 evaluated 77453 pairs
Thread 11 evaluated 95822 pairs
Thread 5 evaluated 74238 pairs
Thread 9 evaluated 77452 pairs
Thread 3 evaluated 88005 pairs
Thread 6 evaluated 84336 pairs
Thread 8 evaluated 91830 pairs
Thread 2 evaluated 99990 pairs
Thread 11 evaluated 95821 pairs
Thread 9 evaluated 77451 pairs
Thread 5 evaluated 74237 pairs
Thread 6 evaluated 84335 pairs
Thread 3 evaluated 88004 pairs
Thread 8 evaluated 91829 pairs
Thread 2 evaluated 99989 pairs
Thread 9 evaluated 77450 pairs
Thread 11 evaluated 95820 pairs
Thread 5 evaluated 74236 pairs
Thread 6 evaluated 84334 pairs
Thread 3 evaluated 88003 pairs
Thread 8 evaluated 91828 pairs
Thread 9 evaluated 77449 pairs
Thread 5 evaluated 74235 pairs
Thread 2 evaluated 99988 pairs
Thread 11 evaluated 95819 pairs
Thread 6 evaluated 84333 pairs
Thread 3 evaluated 88002 pairs
Thread 9 evaluated 77448 pairs
Thread 5 evaluated 74234 pairs
Thread 8 evaluated 91827 pairs
Thread 11 evaluated 95818 pairs
Thread 2 evaluated 99987 pairs
Thread 6 evaluated 84332 pairs
Thread 5 evaluated 74233 pairs
Thread 9 evaluated 77447 pairs
Thread 3 evaluated 88001 pairs
Thread 8 evaluated 91826 pairs
Thread 11 evaluated 95817 pairs
Thread 5 evaluated 74232 pairs
Thread 9 evaluated 77446 pairs
Thread 6 evaluated 84331 pairs
Thread 2 evaluated 99986 pairs
Thread 3 evaluated 88000 pairs
Thread 4 evaluated 80823 pairs
